position,score,SD,CI_low,CI_high
F,0.371326518091424,0.058158517285156,0.267644731837173,0.497494291449672
D,0.256653064667398,0.0431720736215656,0.185144227970089,0.355026393019441
E,0.099302585528977,0.0167105672976711,0.0683313862915886,0.13575866901111
S,0.0846392520383519,0.0173792764304194,0.053468661301092,0.122658907636627
V,0.0485071444334446,0.0085228733752459,0.0332331610216793,0.0657653264824837
R,0.0445378758541542,0.00838830314571155,0.0292728150932226,0.0619145424439323
W,0.0338157453343311,0.00715650688096319,0.0215473777287867,0.0488945945797949
A,0.029402547004115,0.00678120504528546,0.0178414473329544,0.0445492444374006
C,0.0184408907635826,0.00516851998501848,0.00996869557816354,0.0295953190252717
Q,0.0054583526322159,0.0017775432051267,0.00251884576267564,0.00920026753588353
Z,0.00498001947673436,0.00158202394322064,0.00230298015241707,0.0084918419036814
X,0.00293600417527131,0.000969471093989238,0.00133116737086734,0.00512894328438887
